,Africa,,,,,Americas,,,,,,Asia,,,,,,Europe,,,,Pacific Region,
India,,,,,,,,,,,,,,x,,,,,,,,,
Indonesia,,,,,,,,,,,,,,,x,,,,,,,,
Iran (Islamic Republic of),,,,,,,,,,,,,,,,x,,,,,,,
Iraq,,,,,,,,,,,,,,,,x,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,x,,,
Israel,,,,,,,,,,,,,,,,x,x,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,x,,
Jamaica,,,,,,x,,,,,,,,,,,,,,,,,
Japan,,,,,,,,,,,,,x,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,x,x,,,,,,
Kazakhstan,,,,,,,,,,,,x,,,,,,,,,,,
Kenya,,x,,,,,,,,,,,,,,,,,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,x
Kuwait,,,,,,,,,,,,,,,,x,,,,,,,
Kyrgyzstan,,,,,,,,,,,,x,,,,,,,,,,,
Lao People's Democratic Republic,,,,,,,,,,,,,,,x,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,,x,,,,,
Lebanon,,,,,,,,,,,,,,,,x,x,,,,,,
Lesotho,,,,x,,,,,,,,,,,,,,,,,,,
Liberia,,,,,x,,,,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,,,,,,x,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,x,,,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,x,,,
Madagascar,,,x,,,,,,,,,,,,,,,,,,,,
Malawi,,,,x,,,,,,,,,,,,,,,,,,,
Malaysia,,,,,,,,,,,,,,,x,,,,,,,,
Maldives,,,,,,,,,,,,,,x,,,,,,,,,
Mali,,,,,x,,,,,,,,,,,,,,,,,,
Malta,,,,,,,,,,,,,,,,,x,,,,,,
Martinique,,,,,,x,,,,,,,,,,,,,,,,,
Mauritania,,,,,x,,,,,,,,,,,,,,,,,,
Mauritius,,,x,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,x,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,x,,,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,x,,,,
Montserrat,,,,,,x,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,x,,,,,,
Mozambique,,,,x,,,,,,,,,,,,,,,,,,,
Myanmar,,,,,,,,,,,,,,,x,,,,,,,,
Namibia,,,,x,,,,,,,,,,,,,,,,,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,x
Nepal,,,,,,,,,,,,,,x,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,x,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,x
New Zealand,,,,,,,,,,,,,,,,,,,,,,x,
Nicaragua,,,,,,,x,,,,,,,,,,,,,,,,
Niger,,,,,x,,,,,,,,,,,,,,,,,,
Nigeria,,,,,x,,,,,,,,,,,,,,,,,,
Niue,,,,,,,,,,,,,,,,,,,,,,,x
Norway,,,,,,,,,,,,,,,,,,,,x,,,
Occupied Palestinian Territory,,,,,,,,,,,,,,,,x,x,,,,,,
Oman,,,,,,,,,,,,,,,,x,,,,,,,
Pakistan,,,,,,,,,,,,,,,,x,,,,,,,
Panama,,,,,,,x,,,,,,,,,,,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,x
Paraguay,,,,,,,,,,,x,,,,,,,,,,,,
Peru,,,,,,,,,x,,x,,,,,,,,,,,,
Philippines,,,,,,,,,,,,,,,x,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,x,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,,x,,
Puerto Rico,,,,,,x,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,x,,,,,,,
Republic of Korea,,,,,,,,,,,,,x,,,,,,,,,,
Republic of Moldova,,,,,,,,,,,,,,,,,,x,,,,,
Reunion,,,x,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,x,,,,,
Russian Federation,,,,,,,,,,,,,,,,,,x,,,,,
Rwanda,,x,,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,,,,,,x,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,x,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,x,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,x
Sao Tome and Principe,x,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,x,,,,,,,
Senegal,,,,,x,,,,,,,,,,,,,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,x,,,,
Seychelles,,,x,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,x,,,,,,,,,,,,,,,,,,
Singapore,,,,,,,,,,,,,,,x,,,,,,,,
Slovakia,,,,,,,,,,,,,,,,,,x,,,,,
Slovenia,,,,,,,,,,,,,,,,,,,x,,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,x
Somalia,,x,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,x,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,x,,
Sri Lanka,,,,,,,,,,,,,,x,,,,,,,,,
Sudan (former),,x,,,,,,,,,,,,,,,,,,,,,
Suriname,,,,,,,,,,,x,,,,,,,,,,,,
Swaziland,,,,x,,,,,,,,,,,,,,,,,,,
Sweden,,,,,,,,,,,,,,,,,,,,x,,,
Switzerland,,,,,,,,,,,,,,,,,,,,x,,,
Syrian Arab Republic,,,,,,,,,,,,,,,,x,x,,,,,,
Tajikistan,,,,,,,,,,,,x,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,,x,,,,,,,,
The former Yugoslav Republic of Macedonia,,,,,,,,,,,,,,,,,,,x,,,,
Timor-Leste,,,,,,,,,,,,,,,x,,,,,,,,
Togo,,,,,x,,,,,,,,,,,,,,,,,,
Tokelau,,,,,,,,,,,,,,,,,,,,,,,x
Tonga,,,,,,,,,,,,,,,,,,,,,,,x
Trinidad and Tobago,,,,,,x,,,,,,,,,,,,,,,,,
Tunisia,,,,,,,,,,,,,,,,,x,,,,,,
Turkey,,,,,,,,,,,,,,,,x,x,,x,,,,
Turkmenistan,,,,,,,,,,,,x,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,x
Uganda,,x,,,,,,,,,,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,x,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,x,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,x,,,
United Republic of Tanzania,,,,x,,,,,,,,,,,,,,,,,,,
United States of America,,,,,,,,x,,,,,,,,,,,,,,,
Uruguay,,,,,,,,,,x,,,,,,,,,,,,,
USSR,,,,,,,,,,,,x,,,,,,x,,,,,
Uzbekistan,,,,,,,,,,,,x,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,x
Venezuela (Bolivarian Republic of),,,,,,,,,,,x,,,,,,,,,,,,
Viet Nam,,,,,,,,,,,,,,,x,,,,,,,,
Wallis and Futuna Islands,,,,,,,,,,,,,,,,,,,,,,,x
Yemen,,,,,,,,,,,,,,,,x,,,,,,,
Yugoslav SFR,,,,,,,,,,,,,,,,,,,x,,,,
Zambia,,,,x,,,,,,,,,,,,,,,,,,,
Zimbabwe,,,,x,,,,,,,,,,,,,,,,,,,
