,Scientific,Synonym,English,Dutch,Spanish,French,German,Italian,Count English,Count Dutch,Count Spanish,Count French,Count German,Count Italian,Origin,Distribution,"Annual, biennial, or perennial",Flowers,Leaves,Fruits,Climate and weather,Pollination,Height,Type of soil,Moisture,Light,Growth rate,Spacing (close range),Spacing (wide range),Propagation,Insect pests,Diseases,Nematodes,Harvesting,Uses,Evergreen or Deciduous,Plant,Fruit development,Blooming period,genus,family,order,crop_categories,Count of Crop Categories,proverbs,recipies
10,['Aegle marmelos'],"['Crataeva marmelos', 'Feronia pellucida']","Bael,Beli fruit,Bilva,Bilwa,Stone apple,Wood apple",Slijmappel,,Bael,"Belbaum,Bengalische Quitte,Madjobaum,Thai,Matoom,Matum",,6,1,0,1,6,0,"Bael originates from India, southern Nepal, Sri Lanka, Myanmar, Pakistan, Bangladesh, Nepal, Thailand, Laos, Vietnam and Cambodia.","Bael grows in subtropical areas. Main areas of cultivation include India, Sri Lanka, Indonesia, Philippines and Fiji.",, , ,"The woody-skinned fruit of bael has a smooth surface and measures 5 to 15 cm in diameter. Some fruits are so hard that you need a hammer to break the skin. The fruits contain many seeds, covered with fibrous hairs and are surrounded by a thick, sticky pulp.", , ,The trees will grow to about 18 meters tall.,"Bael prefers rich, well-drained soils.",,, , , ,Bael is grown from seeds., , ,, ,Bael fruit is eaten fresh or dried. Juice of bael is sweetened and sometimes mixed with lime to make a kind of lemonade. Also sliced and dried fruits can be used to make a drink by first boiling and then simmering the dried pieces in water. The fruits have also a medicinal use as a mild laxative and digestive.,,, ,,Aegle,Rutaceae,Sapindales,"Fruits,Food crops,Tropical crops",3,,Bael fruit JuiceIngredients:1)  Dried bael fruit 5 slices 2)  Water 1 liter 3)  Sugar 200 gramsInstructions on how to make a juice:Clean the slices of bael fruit with water. Grill the dried slices of bael fruit until you get the aromatic fragrance. It is possible to use the dries piece directly if grilling is too complicated.
11,['Aframomum melegueta'],[],"African pepper,Alligator pepper,Grains of Paradise,Guinea grains,Guinea pepper,Melegueta pepper","Grein,Paradijszaad,Slavenpeper","Granos de Guinea,Granos del Paraíso,Pimienta de Guinea,Pimienta Melegueta,Pimienta murciélago","Maniguette,Poivre de Guinée,Poivre du paradis","Guineapfeffer,Meleguetapfeffer,Paradieskörner",,6,3,5,3,3,0,West Africa,Mainly grown in West Africa and Southern Ethiopia.,It’s a herbaceous perennial plant.,,,,Tropical,,,,,,,,,,,,,,Ground seeds are used as a spice which can be used as a substitute for black pepper.,,,,,Aframomum,Zingiberaceae,Zingiberales,"Spices,Tropical crops",2,,
12,['Agaricus bisporus'],[],"Brown cap mushroom,Button mushroom,Champignon mushroom,Chestnut mushroom,Common mushroom,Cremini mushroom,Cultivated mushroom,Italian brown,Italian mushroom,Paris mushroom,Portobello mushroom,Roman brown mushroom,Swiss brown mushroom,Table mushroom,White mushroom","Champignon,Gekweekte champignon",Champiñón común,"Champignon de couche,Champignon de Paris","Portobello,Zuchtchampignon,Zweisporige Egerling",Champignon,15,2,1,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,Agaricus,Agaricaceae,Agaricales,"Mushrooms,Temperate crops",2,"Watch out for the unexpected mushroom. (Sicilian Proverb)A lucky man can stumble upon a treasure while an unlucky one can’t even find a mushroom. (Russian proverb)Without stooping down for the mushroom, you cannot put it in your basket. (Russian proverb)It’s better to eat a mushroom in freedom than to eat meat in slavery. (African proverb)He has sprung up like a mushroom. (Latin proverb)",
13,['Agave fourcroydes'],[],"Henequen,Henequin,Heniquen","Witte sisal,Yucatánsisal",Henequén,,,,3,2,1,0,0,0,,Henequen is common in Mexico.,,,Leaves are sword-shaped and 1.2 to 1.8 meters long. The leaves grow out of a thick stem that is up to 1.7 meters tall. The leaves have at regular intervals small teeth of 3 to 6 mm long. The terminal spine of the leaf is 2 to 3 cm long.,Henequen is a sterile hybrid does not produce seeds.,,,,,,,,,,Henequen can be propagated using its bulbils or suckers.,,,,,Fibers of Henequen are used to produce ropes. henequen is also used to produce ‘Licor del henequén’ which is an alcoholic drink.,,,,,Agave,Agavaceae,Asparagales,Fiber crops,1,,
14,['Agave sisalana'],[],"Sisal,Sisal hemp","Echte sisal,Sisal",Sisal,Sisal,Sisal-Agave,,2,2,1,1,1,0,Mexico,"High production of sisal is in Brazil, China, Tanzania, kenya, Madagascar",Sisal is perennial; a plant usually lives 7 to 10 years.,"At the end of its 7 to 10 years lifespan, the sisal plant produces a central flowering stem of up to 6 meters tall.",Sisal has sword-shaped leaves that are 1.5 to 2 meters long. The leaves  terminate in a sharp spine. Over a period of 7 to 10 years the plant will produce about 200 to 250 leaves. Then it will flower and then it dies.,"Sisal is a sterile hybrid, so it does not produce fruits that can be used for propagation.",Sisal grows in tropical and sub-tropical climates. the plants prefer temperatures above above 25,,,,,,,,,,,,,,,,A Sisal plant consist of a rosette of sword-shaped leaves.,,,Agave,Agavaceae,Asparagales,"Fiber crops,Tropical crops,Industrial crops",3,,
15,['Agave tequilana'],[],"Blue agave,Tequila agave",Blauwe agave,Agave azul,Agave bleu,,,2,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Agave,Agavaceae,Asparagales,"Alcoholic drinks,Subtropical crops",2,,
16,['Agrocybe aegerita'],"['Agrocybe cylindracea', 'Pholiota aegerita']","Chestnut mushroom,Poplar mushroom,Velvet pioppino",,Seta de chopo,,"Südlicher Ackerling,Südlicher Schüppling","Piopparello,Pioppino,Other,Yanagi-matsutake",3,0,1,0,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,Agrocybe,Strophariaceae,Agaricales,"Food crops,Mushrooms",2,,
17,['Allium ampeloprasum var. ampeloprasum'],[],Elephant garlic,Olifantsknoflook,,,,,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Allium,Alliaceae,Asparagales,"Vegetables,Bulb vegetables,Food crops,Temperate crops",4,,
18,['Allium ampeloprasum var. kurrat'],[],"Egyptian leek,Kurrat",Kurrat,Kurrat,,"Ägyptischer Lauch,Kurrat",Kurrat,2,1,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,Allium,Alliaceae,Asparagales,"Vegetables,Leaf vegetables,Food crops,Temperate crops",4,,
19,['Allium ampeloprasum var. porrum'],['Allium porrum'],Leek,Prei,"Ajo porro,Ajoporro,Poro,Porro,Puerro","Asperge du pauvre,Poireau,Poirée,Poirette,Porreau","Aschlauch,Breitlauch,Fleischlauch,Gemeiner Lauch,Lauch,Porree,Spanischer Lauch,Welschzwiebel,Winterlauch",Porro,1,1,5,5,9,1,,,Leeks are perennial but are usually grown as an annual.,,,,Leek is a temperate vegetable.,"Leek needs cross pollination by insects such as bees, bumble bees and hoverflies.",,,,,,,,Leek is grown from seeds.,"Leek moth, Onion fly","Rust, Phythophthora",,Cut the plant at the base of the ‘stalk’.,"Leek is usually cooked as a vegetable or in soups, but can also be eaten raw, for example in salads.",,,,,Allium,Alliaceae,Asparagales,"Vegetables,Leaf vegetables,Food crops,Temperate crops",4,,
20,['Allium cepa  var. aggregatum'],['Allium ascalonicum'],"Eschalot,Multiplier onion,Potato onion,Shallot","Eslook,Sjalot","Cebolla escalonia,Chalota,Echalote,Escalonia",Échalote,"Askalonzwiebel,Edelzwiebel,Eschalotte,Eschlauch,Schalotte",Scalogno,4,2,4,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,Allium,Alliaceae,Asparagales,"Vegetables,Bulb vegetables,Food crops,Temperate crops",4,,
21,['Allium cepa  var. cepa'],[],"Bulb onion,Common onion,Garden onion,Onion","Ajuin,Juin,Tuinui,Ui",Cebolla,Oignon,Zwiebel,Cipolla,4,4,1,1,1,1,Probably Central Asia,"Onion are grown in many places with different climates. Top producers include China, India, USA, Egypt, Iran, Turkey, Pakistan, Brazil, Russia and Korea.","Onion is often a biennial, but can also be triennial or perennial.", , ,,Onions are found in different climates but prefer cool weather.,, ,Grows in many types of soil but likes highly fertile sandy loam or clay soil which is rich in humus., ,, , , ,Usually grown from seed., , , , ,"Onions are used in many recipes, either cooked (e.g. soups, stews) or raw (e.g. vegetable salads). Onion skins have been used for dye",,,,,Allium,Alliaceae,Asparagales,"Vegetables,Bulb vegetables,Food crops",3,"I speak of garlic, you reply about onions. (Latin proverb)He fasted for a whole year and then broke his fast with an onion. (Arabic proverb)A dealer in onions is a good judge of scallions. (French proverb)A cat has nine lives, as the onion seven skins. (German proverb)An onion can make people cry but there’s never been a vegetable that can make people laugh. (Will Rogers)This cabbage, these carrots, these potatoes, these onions … will soon become me. Such a tasty fact! (Mike Garofalo)Shallots are for babies; Onions are for men; garlic is for heroes. (Unknown source)Do not eat garlic or onions; for their smell will reveal that you are a peasant. (Cervantes, in: Don Quixote)The garlic said to the onion: ‘you stink.’Different men have different opinions; some prefer apples, some onions.",No recipe yet
22,['Allium fistulosum'],[],"Spring onion,Welsh onion",,,Ciboule,Winterzwiebel,,2,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,Allium,Alliaceae,Asparagales,"Vegetables,Leaf vegetables,Food crops,Temperate crops",4,,
23,['Allium sativum'],[],Garlic,Knoflook,Ajo,Ail,Knoblauch,Aglio,1,1,1,1,1,1,Probably originates from central and southwestern Asia.,Found in most countries and climates. Highest production is in China and India.,"It is a perennial plant, but usually grown as an annual.", , ,,"It can be grown year-round in mild climates, but can also be grown in warmer tropical climates during the cooler season.",,,,,,, , ,Usually propagated by planting individual cloves (pointed-side-up) in the soil. It can also be grown from seed., , , , ,"Usually used as a herb, or a seasoning for food dishes. In gardening, it is sometimes used as an intercrop to keep pests away from other plants.",,,,,Allium,Alliaceae,Asparagales,"Vegetables,Bulb vegetables,Spices,Medicinal plants,Food crops",5,"Shallots are for babies; Onions are for men; garlic is for heroes.Garlic is as good as ten mothers. (Indian proverb)One must be very suspicious of anyone who does not eat garlic.Garlic is not only a flavor, it is the secret of happiness. I speak of garlic, you reply about onions.The mortar always smells of garlic. (Italian proverb)No matter if you eat a little or a lot of garlic, the smell is just as strong.Heart with pepper, soul with garlic. (Russian proverb)The garlic said to the onion: ‘you stink’.England and the English. As a rule they will refuse even to sample a foreign dish, they regard such things as garlic and olive oil with disgust, life is unlivable to them unless they have tea and puddings. (George Orwell)There is no such thing as a little garlic. (Arthur Baer)Garlick maketh a man wynke, drynke, and stynke. (Thomas Nash)What garlic is to salad, insanity is to art. (Augustus Saint-Gaudens)There are five elements: earth, air, fire, water and garlic. (Louis Diat)Tomatoes and oregano make it Italian; wine and tarragon make it French. Sour cream makes it Russian; lemon and cinnamon make it Greek. Soy sauce makes it Chinese; garlic makes it good. (Alice May Brock)Without garlic I simply would not care to live. (Louis Diat)Do not eat garlic or onions; for their smell will reveal that you are a peasant. (Cervantes, in: Don Quixote)",
24,['Allium schoenoprasum'],[],Chives,"Bieslook,Pijpgras","Cebolla de verdeo,Cebolleta,Cebollín,Cebollino","Ciboulette,Civette","Binsenlauch,Graslauch,Jakobszwiebel,Schnitt-Lauch,Schnittlauch",Erba cipollina,1,2,4,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,Allium,Alliaceae,Asparagales,"Vegetables,Herbs,Medicinal plants,Food crops,Temperate crops",5,,
25,['Allium wakegi'],[],"Green onion,Green shallots,Salad onion,Scallion,Spring onion","Bosui,Lenteui,Pijpajuin,Slaui",,,,,5,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Allium,Alliaceae,Asparagales,"Vegetables,Leaf vegetables,Food crops",3,,
26,['Aloe vera'],[],"Aloe vera,Medicinal aloe,True aloe",Aloë vera,"Aloe de Barbados,Aloe de Curazao",Aloe vera,"Curacao-Aloe,Echte Aloe,Wüstenlilie",,3,1,2,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,Aloe,Xanthorrhoeaceae,Asparagales,"Medicinal plants,Ornamental plants,Tropical crops,Subtropical crops,Temperate crops",5,"Spikenard and saffron; calamus and cinnamon, with all trees of frankincense; myrrh and aloes, with all the chief spices (Song of Solomon, Bible)And they took the body of Jesus and wound it in linen clothes with the spices and aloes as the manner of the Jews is to bury. (John 19:39-40, Bible)I have perfumed my bed with myrrh, aloes, and cinnamon. (Proverbs 7:17, Bible)",
27,['Aloysia citrodora'],[],"Lemon beebrush,Lemon verbena",Citroenverbena,"Cedrón,Hierba luisa,Verbena de Indias","Verveine citronnelle,Verveine du Pérou,Verveine odorante","Zitronenduftstrauch,Zitronenstrauch,Zitronenverbene",Verbena odorosa,2,1,3,3,3,1,"South America, Chili, Peru",Cultivated as a kitchen herb in temperate climates.,Lemon verbena is a perennial shrub.,The plant bears small pale pinkish-violet or white flowers.,The pointed glossy leaves are about 8 cm long. When crushed the leaves emit a strong lemon scent.,,Lemon verbena grows in temperate climates.,,Grows as a shrub which can be 2 to 3 meters tall.,,,,,,,Usually propagated from stem cuttings.,,,,Leaves are picked by hand.,"Used as a herbal tea or to add lemon flavor to normal tea. As a herb it is used in recipes to add lemon flavor, for example in poultry and fish dishes, or in desserts. Dried leaves are used in potpourri.",,,,,Aloysia,Verbenaceae,Lamiales,"Herbs,Temperate crops",2,,
28,['Amaranthus cruentus'],[],"African spinach,Blood amaranth,Mexican grain amaranth,Prince’s feather,Purple amaranth,Red amaranth",,"Alegría,Huautli",Amarante rouge,Rispenfuchsschwanz,,6,0,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,Amaranthus,Amaranthaceae,Caryophyllales,"Vegetables,Leaf vegetables,Pseudocereals,Food crops,Tropical crops,Subtropical crops",6,,"Amaranth spinachIngredients:  Red amaranth leaves (1 bunch) Oil (2 tablespoons) Garlic (1 teaspoon, crushed) Oyster sauce (2 tablespoons ) Sugar (2 teaspoons) Cornstarch (2 teaspoons)How to prepare:  Wash and dry the amaranth leaves. Discard tough stems. Pick leaves and cut stems into smaller pieces. Heat oil and fry the garlic on low fire until it has a pale golden color. Add the amaranth leaves and then on medium high fire mix gently until the leaves are just cooked. Then add oyster sauce and sugar. Cover with a lid and let it steam for one or two minutes. Mix cornflour with 2 tablespoons of cold water and stir this into the amaranth liquid until it boils and thickens. Serve this amaranth spinach with steamed rice."
29,['Amaranthus spp.'],[],"Amaranth,Chinese spinach",Amarant,Amaranto,Amarante,Hauswurz,Amaranto,2,1,1,1,1,1,America,"Amaranth is now grown all over the world, especially in warmer climates.",Amaranth is an annual plant., ,"Amaranth leaves can be green, red or purple, depending on the species and variety. Of some species the leaves are eaten as a vegetable.",The seeds of Amaranth can be eaten as a grain., , , , , ,, ,,,Amaranth is grown from seed.,Some leaf eating insects can damage Amaranth., ,,Amaranth leaves are collected by hand picking.,"Some species of Amaranth are grown for their seeds, which can be eaten as a grain. But because Amaranth does not belong to the grasses family, it is called a pseudograin or pseudocereal. Many other species are grown as a leafy vegetable. The leaves are cooked as a type of spinach or can be used in salads. Several Amaranthus species are grown as ornamental plants in gardens. Note that in some cases Amaranthus spp. are considered a weed.",,,,,Amaranthus,Amaranthaceae,Caryophyllales,"Vegetables,Leaf vegetables,Pseudocereals,Food crops,Tropical crops,Subtropical crops,Staple food",7,“We called the album ‘Amarantine’ to mean everlasting. Poets use the word to describe an everlasting flower and I loved the image of that.” (Enya),"Amaranth spinachIngredients:  Red amaranth leaves (1 bunch) Oil (2 tablespoons) Garlic (1 teaspoon, crushed) Oyster sauce (2 tablespoons ) Sugar (2 teaspoons) Cornstarch (2 teaspoons)How to prepare:  Wash and dry the amaranth leaves. Discard tough stems. Pick leaves and cut stems into smaller pieces. Heat oil and fry the garlic on low fire until it has a pale golden color. Add the amaranth leaves and then on medium high fire mix gently until the leaves are just cooked. Then add oyster sauce and sugar. Cover with a lid and let it steam for one or two minutes. Mix cornflour with 2 tablespoons of cold water and stir this into the amaranth liquid until it boils and thickens. Serve this amaranth spinach with steamed rice."
30,['Amaranthus viridis'],[],"African spinach,Green amaranth,Slender amaranth",,Amaranto verde,"Épinard du Congo,Épinard vert,Amarante verte",,,3,0,1,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Amaranthus,Amaranthaceae,Caryophyllales,"Leaf vegetables,Tropical crops,Vegetables",3,,
31,['Amomum subulatum'],[],"Bengal cardamom,Black cardamom,Brown cardamom,Greater cardamom,Hill cardamom,Indian cardamom,Nepal cardamom,Winged cardamom",Zwarte kardemom,Cardamomo negro,Cardamome brune,"Brauner Kardamom,Nepal-Kardamom,Schwarzer Kardamom",,8,1,1,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,Amomum,Zingiberaceae,Zingiberales,"Spices,Medicinal plants,Tropical crops",3,,
32,['Amorphophallus konjac'],[],"Devil’s tongue,Elephant yam,Konjac,Konjak,Konjaku,Konnyaku potato,Snake palm,Voodoo lily",Konjak,"Konjac,Konjak,Konnyaku,Lengua del diablo",Konjac,"Konjakwurzel,Teufelszunge,Tränenbaum",,8,1,4,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,Amorphophallus,Araceae,Alismatales,"Vegetables,Root vegetables,Corm vegetables,Food crops,Tropical crops",5,,
33,['Amorphophallus paeoniifolius'],['Amorphophallus campanulatus'],"Elephant bread,Elephant foot,Elephant foot aroid,Elephant foot yam,Elephant yam,Stink lily,Suran,Sweet yam,Whitespot giant arum","Olifantenyam,Other,Olkachu",,,,,9,3,0,0,0,0,Elephant yam probably originates from India or Sri Lanka.,"Elephant yam is grown in Bangladesh, India, South-East Asia and in Africa.",Elephant foot is a perennial herb. It usually takes 3 to 4 years before the corms are harvested.,,Leaves (usually one or two on a stem) are about 50 cm long and consist of several oval leaflets.,,Elephant yam grows in the tropics and needs a high temperature and high humidity.,,1 to 2 meters.,,,,,,,"For the propagation of elephant foot yam, small corms (cormels) or buds are used. These are produced below ground level at the base of the stem.",?,A common disease is foot rot (Rhizoctonia solani),,When the leaves begin to wither and die the corms can be dug up by hand.,"The corm of Elephant foot is eaten as a vegetable, usually boiled or baked.  Elephant yam is also sometimes grown for its medicinal properties.",,"Elephant foot yam is a tropical tuber crop, grown for its round corm. The stems can be 1 to 2 meters tall.",,,Amorphophallus,Araceae,Alismatales,"Vegetables,Tuber vegetables,Corm vegetables,Food crops",4,,
34,['Anacardium occidentale'],[],"Cashew,Cashew apple,Cashew nut","Cashew,Cashewnoot",Anacardo,"Anacardier,Noix de cajou,Pomme de cajou,Pommier-cajou","Acajubaum,Kaschu,Kaschubaum",Noce di anacardio,3,2,1,4,3,1,Cashew nut originates from Brazil.,"Cashew nuts are produced in countries with a tropical climate, especially in Africa and South and Southeast Asia. Highest production of cashew nut is in  Nigeria, India, Côte d’Ivoire, Vietnam, Indonesia, Philippines, Brazil, Guinea-Bissau, Tanzania and Benin.",,,,"The ‘fruit’ of the cashew tree is actually not a real fruit. What appears to be the fruit is a pear-shaped structure that develops from the pedicel and the receptacle of the cashew flower. This part is usually called the ‘cashew apple’. It is edible and has a juicy pulp, which can be eaten or can be used to make fruit drinks. The true cashew fruit is the kidney shaped drupe that grows at the end of the cashew apple. Actually, this drupe develops first before the pedicel expands to become the cashew apple. Within the kidney shaped fruit is a single seed, which is the edible cashew nut. The shell is toxic and has to be removed.",Cashew nut grows in tropical climates.,Cashew is pollinated by insects.,Cashew nut is a small tree about 10 to 14 meters tall.,,,,,,,Cashew can be grown from seeds but does not breed true to type. For propagating commercial cashew svarieties grafting is needed.,,,,Fruits are hand picked. Gloves are required to remove the seed because the shell contains corrosive liquid.,"Most cashew nuts are eaten roasted as a snack, sometimes with salt or sugar. Cashew nuts are also used in recipes for baking cakes and cookies, in soups and stews. They are also used in chocolates.The cashew apple is eaten fresh or can be used cooked in curries. It is also used to produce juice or fermented to produce an alcoholic drink.",Cashew is an evergreen tree.,,,,Anacardium,Anacardiaceae,Sapindales,"Fruits,Nuts,Tropical crops,Food crops",4,,
